,,SINT-GEERTRUIKERK REPETITIE- en CONCERTKALENDER 2025,,,,
,,,,,,Wie volgt op?
,,,,,,
Zondag 12 januari,,20 u.,,repetitie Dejans,,Jan
zondag 9 februari,,20 u.,,repetitie Dejans,,Jan
zondag 9 maart,,20 u.,,repetitie Dejans,,Jan
,,,,,,
vrijdag 14 maart,,13 u.,,"Forum Musicale, Luc Ponnet brengt Hammond",,Jan
maandag 17 maart,,16-22 uur,,repetitie,,Jan
dinsdag 18 maart ,,15 uur,,repetitie ,,Jan
"""",,21u30,,concert ,,Jan
,,,,,,
Woensdag 19 maart,,15-22 uur,,"Currende, repetitie",,Jan
Donderdag 20 maart ,,15-22 uur,,"Currende, repetitie",,Jan
Dinsdag 15 april,,15-22 uur,,"Currende, repetitie",,Jan
,,,,,,
Woensdag 30 april ,,19 u. tot 20.30 u.,,SLAC Dido & Aeneas: toonmoment  ,,Jan
,,,,Contact: Floris De Rycker,,
,,,,,,
Maandag 5 mei,,,,Generale orgelstemming,,Jan
,,,,,,
Dinsdag 6 mei  ,,vanaf 18 uur,,SLAC repetitie Dido & Aeneas,,Jan
,,,,Contact: Floris De Rycker,,
,,,,,,
Maandag 12 mei  ,,van 10 tot 14 u.,,Kerk gereserveerd voor Wouter,,
,,,,,,
Dinsdag 13 mei  ,,vanaf 16 uur,,SLAC examens ,,Grietje
,,20 uur,,concert Dido & Aeneas,,Grietje
,,,,,,
Donderdag 15 mei,,13u30 ,, Bezoek  Spaanssprekende groep aan kruisweg Esquivel olv Paula Peeters,,Grietje
,,,,,,
Vrijdag 16 mei ,,,,Kerk gereserveerd voor Wouter,,
Zaterdag 17 mei ,,,,Kerk gereserveerd voor Wouter,,
Zondag 18 mei,,15 uur,,CD-voorstelling met concert Wouter Dekoninck,,
,,,,,,
Donderdag 22 mei ,, 9.00 u.,,bezoek Ards Congres voor koorbanken olv Hannah De Moor,,Grietje
,,,,,,
Donderdag 22 mei,,14 uur,, Openbaar examen Orgel ,,
,,,,,,
Donderdag 22 mei,,19 uur,,Kooruwel: Generale repetitie ,,
Vrijdag 23 mei,,,,Kooruwel: leveren van stoelen en licht Contact: Bart Vanreusel 0478 24 00 18,,
Zaterdag 24 mei,,16 uur,,klaarzetten kerk,,
,,20 uur,,Kooruwel:Concert,,
Maandag 26 mei,,,,Ophalen materiaal,,
,,,,,,
Zaterdag 7 juni ,,15 uur,,"Florilegium: repetitie, Contact: Fried Buelens 0472 49 69 64",,
Zondag 8 juni ,,15 uur,,"Concert Florilegium,  na het concert bescheiden drink in de kerk",,
,,,,,,
zaterdag 21 juni,,16 uur,,repetitie concert Vocaal Ensemble De Corde contact: Dries.fonteyn@gmail.com,,
,,20 uur,,concert,,
,,,,,,
Week van 3 tot 12 juli ,,,,"Orgelbespelingen, masterclass en concert van Contiusfoundation ",,
,,,,"(Veerle Braem, Anna Wood)",,
vrijdag 4/07/2025,,8u30 tot 9u30,,repetitie Brigitta Petropavlova,,
maandag 7/07/2025,,8u30 tot 13u30,,repetities en individuele lessen,,
dinsdag 8/07/2025,,10 u tot 19 u,,repetitie cantantes Much,,
woensdag 9/07/2025,,10 u tot 13 uur,,repetitie cantantes Much,,
,,14u tot 18u30,,individuele lessen,,
donderdag 10/07/2025,,10 u tot 13 uur,,repetitie cantantes Much,,
,,14u30 tot 16u30,,individuele lessen,,
,,,,,,
donderdag 24 juli,,namiddag/avond,,levering klavierinstrumenten door Musica Gloria,,
vrijdag 25 juli,,vanaf 9 uur tot 21 uur,,stemming voormiddag en repetitie namiddag,,
zaterdag 26 juli,,voor 9 uur,,"ophalen klavierinstrumenten, trouwplechtigheid ",,
,,,,,,
Woensdag 13 augustus,,15 tot 22 uur,,repetitie Currende,,
Donderdag 14 augustus,,15 tot 22 uur,,repetitie Currende,,
,,,,,,
Zondag 24 augustus ,,13 uur tot 17 uur,,"Koor XL, korte repetitie en 3 concertjes contact: cecilesarlet@gmail.com",,
,,,,,,
Woensdag 24 september,,10 tot 13 uur,,repetitie en opname cd,,
,,20.30 uur,,Concert old Persian Music - Farid Kheradmand,,
,,,,,,
Donderdag 9 oktober ,,,,Concert Festival 20/21,,
,,,,,,
Dinsdag 14 oktober,,,,Concert Festival 20/21 (Blindman),,
,,,,,,
Vrijdag 31 oktober,,,, Concert ‘Musica Gloria’ olv Nele Vertommen,,
,,,,,,
Zondag 2 november ,,,,Requiemconcert Sotto Voce olv Stef Conings,,
